ts,symbol,best_bid_price,best_bid_size,best_ask_price,best_ask_size
2025-12-25T20:54:14.049752,ETHUSDT,2948.00,8.42,2948.01,68.37
2025-12-25T20:54:14.083249,ETHUSDT,2948.00,8.43,2948.01,68.37
2025-12-25T20:54:14.453823,ETHUSDT,2948.00,12.98,2948.01,64.79
2025-12-25T20:54:14.729620,ETHUSDT,2948.00,14.67,2948.01,64.79
2025-12-25T20:54:15.084701,ETHUSDT,2948.00,14.66,2948.01,64.79
2025-12-25T20:54:15.093108,ETHUSDT,2948.00,14.66,2948.01,64.81
2025-12-25T20:54:15.353816,ETHUSDT,2948.00,14.66,2948.01,66.05
2025-12-25T20:54:15.453172,ETHUSDT,2948.00,14.66,2948.01,64.81
2025-12-25T20:54:15.605446,ETHUSDT,2948.00,14.66,2948.01,66.06
2025-12-25T20:54:15.612657,ETHUSDT,2948.00,14.66,2948.01,66.04
2025-12-25T20:54:15.717917,ETHUSDT,2948.00,14.66,2948.01,64.79
2025-12-25T20:54:15.748278,ETHUSDT,2948.00,14.67,2948.01,64.79
2025-12-25T20:54:16.733601,ETHUSDT,2948.00,12.97,2948.01,64.79
2025-12-25T20:54:16.743781,ETHUSDT,2948.00,14.68,2948.01,64.79
2025-12-25T20:54:17.384172,ETHUSDT,2948.00,14.68,2948.01,66.14
2025-12-25T20:54:17.485395,ETHUSDT,2948.00,14.68,2948.01,64.79
2025-12-25T20:54:17.543345,ETHUSDT,2948.00,14.68,2948.01,63.99
2025-12-25T20:54:17.913911,ETHUSDT,2948.00,14.68,2948.01,58.72
2025-12-25T20:54:18.304667,ETHUSDT,2948.00,14.68,2948.01,60.12
2025-12-25T20:54:18.385987,ETHUSDT,2948.00,14.68,2948.01,58.72
2025-12-25T20:54:18.464052,ETHUSDT,2948.00,14.68,2948.01,60.13
2025-12-25T20:54:18.614004,ETHUSDT,2948.00,14.68,2948.01,58.72
2025-12-25T20:54:18.742704,ETHUSDT,2948.00,14.68,2948.01,60.14
2025-12-25T20:54:18.753340,ETHUSDT,2948.00,12.97,2948.01,60.14
